"","Ensembl.Gene.ID","GeneSymbol","Initially.Assigned.Module.Color","consensus.kMEblack","consensus.kMEblue","consensus.kMEbrown","consensus.kMEcyan","consensus.kMEgreen","consensus.kMEgreenyellow","consensus.kMEmagenta","consensus.kMEmidnightblue","consensus.kMEpink","consensus.kMEpurple","consensus.kMEred","consensus.kMEsalmon","consensus.kMEtan","consensus.kMEturquoise","consensus.kMEyellow"
"ENSG00000000003","ENSG00000000003","TSPAN6","cyan",-0.432588874859082,0.328277435694402,0.0585799491001461,0.159286278924128,-0.0168282762454703,0.223284616497805,0,0,-0.316112718729614,0.293603164501235,-0.14870371389128,0.275286192485123,0,0,0.0778428932163797
"ENSG00000000419","ENSG00000000419","DPM1","grey",0.532645269966732,0,0,-0.242128386156473,0,-0.229741672668532,0,0.357951602447704,0,-0.419140529223274,0.217042852056029,-0.457058935384731,0,-0.130481570489741,-0.396121888004623
"ENSG00000000457","ENSG00000000457","SCYL3","grey",0.18669452522042,0,0.380301535715549,-0.115509021552942,-0.255966915828048,-0.137218396443401,0,0.371468773832283,0.0256018427194296,-0.332191047085087,0.0500781515530182,-0.345043769781566,0,0,-0.289532633505864
"ENSG00000000460","ENSG00000000460","C1orf112","blue",-0.192802587868407,0.524050469843725,0.325644927750234,0.189225821032846,-0.173799765475121,0,0.115727579947134,0,-0.466372839852036,0,-0.302372980646598,0,0,0,0
"ENSG00000000938","ENSG00000000938","FGR","salmon",-0.479965824510999,0.0275390647769289,-0.172201155176351,0.309833937966625,0.0538702176020383,0.513771187405494,0,-0.402284623466165,-0.0517351165151751,0.477891629836145,-0.27531332750812,0.67886274891571,0,0.150533414234974,0.559541462906268
"ENSG00000000971","ENSG00000000971","CFH","grey",-0.327848661354942,0,-0.0692395033938124,0.268122379596785,0,0.576940745499502,0,-0.325106216734568,-0.146888414944107,0.526392810425299,-0.173797975422329,0.645590464972534,0,0.129124352347165,0.304113707907531
"ENSG00000001036","ENSG00000001036","FUCA2","blue",-0.168991864368853,0.276622331698933,0.289016591732656,0.222232074669068,-0.300294634578548,0.149298582179218,0,0,-0.402493996530031,0.0765078597707702,-0.257180432765206,0.130794572655775,0,0.0374803430670277,0
"ENSG00000001084","ENSG00000001084","GCLC","turquoise",0,0,0.0373778989041555,0,0,0.0475492621990819,-0.0620832791511107,0,-0.120093946130375,0.154191466964273,0,0,-0.19736579395712,0.713740959127165,0
"ENSG00000001460","ENSG00000001460","STPG1","grey",0.518813730028175,-0.238732024085577,0,-0.216174700760998,0,-0.151562960829731,-0.077982066973858,0.193034573494776,0.369548042167183,-0.146877834963738,0.310324164277226,-0.287932219173129,0,0,-0.313201565337212
"ENSG00000001497","ENSG00000001497","LAS1L","grey",0,0,0.000343639855651723,0,0,-0.371452566746785,0,0,0,-0.305453555894488,0,-0.307725565559878,0.0885715287130212,0,0
"ENSG00000001617","ENSG00000001617","SEMA3F","cyan",-0.513655623048024,0.381842155354169,0,0.255763704122466,0,0.253955546067128,0.275095314758123,-0.0972319431371682,-0.151359410462163,0.0813210107732303,-0.304356947644752,0.391880450673603,0.0637554058834583,0,0.32524810384243
"ENSG00000001626","ENSG00000001626","CFTR","turquoise",0,0,0,-0.17352297441563,0,0,-0.147607165953136,0,-0.0711584309961025,0,0,0,0,0.396949722774885,0
"ENSG00000001630","ENSG00000001630","CYP51A1","grey",0.100354816029665,0,0.337241390829428,-0.255888862012603,-0.274456979687956,-0.105950596056712,-0.233077162250893,0.487006562477692,0,-0.205122997319946,0.236883216420035,-0.145232031798279,-0.00241371382938435,0,-0.272159691923083
"ENSG00000001631","ENSG00000001631","KRIT1","blue",0.047811837590932,0.336439565867174,0.512666684992382,0,-0.412344843458911,0,0,0.342567651396807,-0.234685914112137,-0.0229543265437087,0,0,0,0,-0.235817316364335
