"","p.value.Diagnosis","p.value.Age","p.value.Gender","p.value.Region","p.value.Diagnosis","p.value.Age","p.value.Gender","p.value.Brain.Bank","p.value.RIN","p.value.PC1_Sequencing","p.value.PC2_Sequencing","p.value.Diagnosis","p.value.Age","p.value.Gender","p.value.GEO"
"MEred",0.0204211790699174,0.74208348923561,0.692945216871771,1.62077647191777e-07,5.81182239367673e-08,0.767034592817714,0.549348507397739,0.00076294456981163,0.0561409552136785,0.245477491606938,0.272727954992183,8.79140298437877e-32,1.80943630309917e-13,0.000300916318067511,1.65215837220162e-18
"MEbrown",0.522181969966153,0.0108954690345456,0.774319601984799,0.0202123204599578,0.943791465003799,0.450182355163726,0.0609029237052726,0.10014450416418,0.955760158917793,0.40581712119578,0.844750121512645,1.48728986264898e-06,0.00173153939800573,0.117897144996914,0.0769774890597578
"MEblack",0.000104631423373891,0.0822322739299834,0.975486192018568,0.996312037511784,7.57505053439528e-08,0.711064997122808,0.453898225122777,0.000518203264250433,0.0588510742851772,0.220288254686969,0.244778531406723,2.42837574321417e-29,1.43876352047662e-12,0.000498286792592622,2.10782502803802e-18
"MEmidnightblue",0.0306305933816471,0.0241323508979695,0.811255190280721,0.25595288230233,0.000245424133245485,0.591268238088281,0.116507834918532,0.000278080485108531,0.323303128153745,0.136412343033859,0.386512777208549,1.01252775451769e-20,2.57321672530855e-09,0.00324918225221661,7.01959312471257e-05
"MEmagenta",0.293476341128582,0.258667972607566,0.451991222003905,1.64769793355688e-05,0.000336900158684484,0.87234114615812,0.169576494282328,0.00270296646976477,0.395340836672894,0.227704962296609,0.567968198868727,2.96551364102996e-37,2.17673594162246e-15,0.000102620438254106,7.53655863733584e-16
"MEtan",0.00673774243109099,0.191954881045275,0.299344907458601,0.0120884137885421,0.286036753793612,0.678475432039702,0.0637587391006183,0.00421524479470119,0.884813015182231,0.458068291155251,0.816687663335162,7.78579430886178e-07,0.00134395688279943,0.108970984215832,0.000442453156827274
"MEblue",0.125764345791537,0.00184654635561412,0.675880165544222,0.000789682097517935,1.0391878036983e-05,0.426401181389992,0.746121992046756,0.074458582726797,0.24441335346646,0.676343250281439,0.385689909542028,6.31983940320151e-35,1.3961473945873e-14,0.000163939358029306,1.42111624502963e-52
"MEcyan",0.0211119950629919,0.320101915316945,0.527939953485708,4.04130258508191e-09,6.4122016638982e-08,0.973609053415923,0.631875492279038,0.0117454255999288,0.0879523689546561,0.366030529847584,0.118995362312566,9.12507727300116e-45,6.01900616907978e-18,2.66759229938293e-05,4.69353440613986e-21
"MEgreen",0.0453667572099471,1.03745311472892e-06,0.38369867206895,0.11321638953715,0.522041730005861,0.16115150519453,0.0198084841685425,0.00189245768516297,0.970935942163875,0.521148274670736,0.922567956607655,2.13741606101536e-05,0.00562759087929047,0.167038033260454,0.000431515582792952
"MEpink",2.77849438275734e-11,0.050010366355692,0.650148806510045,0.228480147509086,1.82295629317749e-05,0.887948647007311,0.660568619510036,0.12044889356736,0.0819758707095459,0.4456006433811,0.306604082937253,0.000382844054216527,0.0203150904988758,0.245071599058978,1.6719878583065e-25
"MEturquoise",0.96872036248429,6.40160652809314e-14,0.525262843542017,0.0104120309846562,0.00845996915205179,0.633795099754555,0.677229284470347,0.0515893351316939,0.456240324878182,0.718317356938513,0.847282004122471,1.464084936598e-10,3.38606771433261e-05,0.0387539251910411,1.58996110541312e-16
"MEyellow",7.64524811972845e-07,0.751675893724621,0.783447178555463,0.264474577651305,5.17588462022062e-07,0.580793179572168,0.188934574590107,0.000504329140985688,0.0978017170714952,0.144381801544641,0.268919445740348,0.000320834297402245,0.018986793736976,0.241891680386717,0.0026306039651443
"MEgreenyellow",3.97144596729847e-05,0.216461809153905,0.948018049913916,0.0435433073716645,0.00167496922467228,0.874451330691374,0.579712359571784,0.596436219043492,0.225591964993849,0.567755399076985,0.500445218118447,1.48276071185594e-23,2.14772799365433e-10,0.00170007925886409,1.27859450039264e-14
"MEpurple",2.04072844071068e-05,0.0214688277368561,0.0535826753565753,0.213371901715084,7.76889462205865e-06,0.960597734895577,0.682701958625716,0.0332507515669965,0.252413409401223,0.478539645843028,0.125192767921608,1.05318926740572e-42,2.89324278844859e-17,3.9038626922188e-05,1.78532148970766e-31
"MEsalmon",2.83781702144527e-08,0.449979044982451,0.754384389172324,0.153872096435394,2.34748980063367e-09,0.941102846964705,0.896147030394009,0.010877939739904,0.00551321107029841,0.306506812460987,0.166279436011587,6.79688019387766e-39,5.87445836513547e-16,7.71345180898647e-05,1.97410417607835e-21
